Gene_SFARI_all,Gene_SFARI_high,Gene_SFARI_syndromic
ENSG00000183044,ENSG00000087085,ENSG00000077080
ENSG00000154263,ENSG00000075624,ENSG00000243989
ENSG00000179869,NA,ENSG00000135541
ENSG00000064687,NA,ENSG00000184254
ENSG00000159640,ENSG00000196839,ENSG00000185046
ENSG00000087085,ENSG00000138031,ENSG00000182287
ENSG00000075624,ENSG00000101126,ENSG00000189079
ENSG00000077080,ENSG00000239900,ENSG00000088035
ENSG00000130402,ENSG00000155966,ENSG00000163399
ENSG00000243989,ENSG00000135439,ENSG00000105409
ENSG00000196839,ENSG00000092847,ENSG00000085185
ENSG00000138031,ENSG00000134698,ENSG00000111678
ENSG00000173175,ENSG00000126705,ENSG00000141837
ENSG00000156110,NA,ENSG00000070808
ENSG00000101126,ENSG00000127914,ENSG00000058404
ENSG00000282608,NA,ENSG00000090061
ENSG00000239900,ENSG00000112294,ENSG00000065883
ENSG00000155966,ENSG00000116748,ENSG00000132964
ENSG00000157985,ENSG00000145020,ENSG00000198707
ENSG00000135439,ENSG00000145362,ENSG00000153922
ENSG00000186094,ENSG00000151150,ENSG00000100288
ENSG00000187546,ENSG00000167522,ENSG00000149970
ENSG00000092847,ENSG00000135046,ENSG00000174469
ENSG00000126070,NA,ENSG00000009307
ENSG00000134698,ENSG00000166313,ENSG00000066032
ENSG00000180772,ENSG00000117362,ENSG00000111249
ENSG00000126705,ENSG00000131089,ENSG00000135929
ENSG00000135541,ENSG00000049618,ENSG00000177030
ENSG00000127914,ENSG00000004848,ENSG00000100150
ENSG00000184254,NA,ENSG00000132153
ENSG00000035687,ENSG00000151693,ENSG00000198719
ENSG00000112294,ENSG00000116539,ENSG00000198947
ENSG00000116748,ENSG00000066279,ENSG00000175283
ENSG00000145020,ENSG00000148219,ENSG00000101210
ENSG00000145362,ENSG00000141431,ENSG00000165288
ENSG00000151150,ENSG00000206190,ENSG00000073464
ENSG00000167522,ENSG00000157087,ENSG00000138081
ENSG00000185046,ENSG00000085224,ENSG00000169933
ENSG00000135046,ENSG00000158321,ENSG00000136928
ENSG00000182287,ENSG00000166148,ENSG00000011677
ENSG00000034053,ENSG00000123636,ENSG00000171766
ENSG00000166313,ENSG00000103507,ENSG00000172534
ENSG00000117362,ENSG00000119866,ENSG00000164588
ENSG00000285077,NA,ENSG00000068024
ENSG00000134909,ENSG00000157764,ENSG00000147099
ENSG00000100852,ENSG00000174672,ENSG00000165478
ENSG00000104728,ENSG00000095564,ENSG00000128731
ENSG00000131089,NA,ENSG00000105991
ENSG00000049618,NA,ENSG00000086758
ENSG00000189079,ENSG00000151067,ENSG00000164880
ENSG00000172379,ENSG00000157388,ENSG00000083168
ENSG00000004848,ENSG00000198216,ENSG00000168280
ENSG00000128271,ENSG00000196557,ENSG00000005483
ENSG00000169252,ENSG00000157445,ENSG00000118162
ENSG00000088035,ENSG00000165995,ENSG00000144320
ENSG00000169083,NA,ENSG00000144893
ENSG00000151693,ENSG00000135387,ENSG00000081189
ENSG00000239388,ENSG00000147044,ENSG00000198793
ENSG00000116539,ENSG00000130940,ENSG00000160877
ENSG00000196433,ENSG00000132024,ENSG00000147862
ENSG00000066279,ENSG00000113328,ENSG00000008441
ENSG00000148219,NA,ENSG00000175745
ENSG00000141431,ENSG00000115484,ENSG00000151623
ENSG00000206190,ENSG00000198752,ENSG00000162631
ENSG00000163399,ENSG00000140945,ENSG00000196358
ENSG00000105409,NA,ENSG00000148053
ENSG00000157087,NA,ENSG00000122126
ENSG00000185344,ENSG00000008086,ENSG00000179364
ENSG00000085224,ENSG00000101489,ENSG00000007372
ENSG00000158321,ENSG00000174799,ENSG00000175198
ENSG00000166148,ENSG00000106477,ENSG00000114054
ENSG00000198049,ENSG00000128849,ENSG00000172943
ENSG00000160862,ENSG00000198824,ENSG00000105647
ENSG00000123636,ENSG00000173575,ENSG00000198914
ENSG00000140463,ENSG00000170004,ENSG00000170836
ENSG00000064787,ENSG00000171316,ENSG00000113575
ENSG00000103507,ENSG00000100888,ENSG00000184304
ENSG00000119866,NA,ENSG00000100033
ENSG00000085185,ENSG00000131165,ENSG00000126464
ENSG00000115760,ENSG00000166664,ENSG00000136238
ENSG00000157764,ENSG00000136425,ENSG00000164754
ENSG00000139618,ENSG00000079432,ENSG00000006451
ENSG00000135127,ENSG00000074054,ENSG00000106615
ENSG00000141867,ENSG00000149970,ENSG00000131263
ENSG00000174672,ENSG00000088038,ENSG00000181481
ENSG00000109743,ENSG00000118432,ENSG00000069667
ENSG00000095564,ENSG00000144619,ENSG00000177189
ENSG00000166167,ENSG00000149972,ENSG00000119042
ENSG00000111678,ENSG00000134115,ENSG00000139718
ENSG00000188277,ENSG00000174469,ENSG00000181523
ENSG00000203710,ENSG00000106714,ENSG00000142178
ENSG00000131686,ENSG00000152910,ENSG00000110436
ENSG00000141837,ENSG00000005339,ENSG00000162426
ENSG00000148408,ENSG00000009307,ENSG00000080503
ENSG00000151067,ENSG00000102974,ENSG00000072501
ENSG00000157388,NA,ENSG00000108055
ENSG00000198216,ENSG00000168036,ENSG00000135317
ENSG00000102001,ENSG00000169862,ENSG00000149269
ENSG00000006283,ENSG00000077063,ENSG00000118007
ENSG00000196557,ENSG00000036257,ENSG00000131018
ENSG00000100346,ENSG00000044090,ENSG00000067715
ENSG00000153956,ENSG00000257923,ENSG00000147133
ENSG00000157445,ENSG00000273749,ENSG00000036054
ENSG00000165995,NA,ENSG00000184058
ENSG00000182985,ENSG00000070190,ENSG00000168955
ENSG00000163618,ENSG00000215301,ENSG00000131653
ENSG00000081803,ENSG00000177030,ENSG00000182400
ENSG00000070808,ENSG00000113742,ENSG00000196367
ENSG00000058404,ENSG00000139726,ENSG00000129696
ENSG00000182472,NA,ENSG00000155657
ENSG00000135387,ENSG00000172893,ENSG00000130477
ENSG00000198286,NA,ENSG00000187555
ENSG00000166734,ENSG00000160305,ENSG00000124486
ENSG00000147044,ENSG00000151240,ENSG00000220205
ENSG00000130940,ENSG00000162946,ENSG00000112290
ENSG00000132024,ENSG00000150672,ENSG00000162923
ENSG00000015133,ENSG00000132535,ENSG00000154767
ENSG00000123106,ENSG00000170579,ENSG00000100811
ENSG00000185972,ENSG00000064195,ENSG00000130449
ENSG00000113328,NA,NA
ENSG00000090061,ENSG00000104936,NA
ENSG00000184305,ENSG00000119772,NA
ENSG00000115484,ENSG00000107099,NA
ENSG00000103855,NA,NA
ENSG00000004468,ENSG00000175497,NA
ENSG00000198752,ENSG00000092964,NA
ENSG00000040731,ENSG00000171587,NA
ENSG00000140937,ENSG00000197102,NA
ENSG00000140945,ENSG00000157540,NA
ENSG00000150394,ENSG00000108001,NA
ENSG00000113100,NA,NA
ENSG00000065883,ENSG00000132294,NA
ENSG00000132964,ENSG00000181090,NA
ENSG00000008086,NA,NA
ENSG00000099954,ENSG00000196361,NA
ENSG00000101489,ENSG00000109911,NA
ENSG00000140488,ENSG00000100393,NA
ENSG00000174799,ENSG00000183495,NA
ENSG00000198707,ENSG00000158636,NA
ENSG00000106477,ENSG00000105379,NA
ENSG00000128849,ENSG00000153789,NA
ENSG00000198824,ENSG00000166147,NA
ENSG00000153922,ENSG00000112851,NA
ENSG00000173575,ENSG00000102081,NA
ENSG00000170004,ENSG00000176165,NA
ENSG00000171316,ENSG00000114861,NA
ENSG00000100888,ENSG00000128573,NA
ENSG00000100288,NA,NA
ENSG00000131165,NA,NA
ENSG00000133019,ENSG00000166206,NA
ENSG00000166664,ENSG00000182256,NA
ENSG00000147432,ENSG00000130035,NA
ENSG00000136425,NA,NA
ENSG00000079432,ENSG00000278311,NA
ENSG00000074054,ENSG00000146830,NA
ENSG00000182372,ENSG00000204120,NA
ENSG00000070371,ENSG00000076716,NA
ENSG00000153815,ENSG00000171723,NA
ENSG00000134326,ENSG00000155511,NA
ENSG00000170289,ENSG00000120251,NA
ENSG00000149970,ENSG00000182771,NA
ENSG00000088038,ENSG00000164418,NA
ENSG00000118432,ENSG00000105737,NA
ENSG00000113805,ENSG00000176884,NA
ENSG00000144619,ENSG00000183454,NA
ENSG00000149972,ENSG00000273079,NA
ENSG00000134115,ENSG00000155974,NA
ENSG00000174469,NA,NA
ENSG00000106714,NA,NA
ENSG00000152910,NA,NA
ENSG00000155052,ENSG00000173064,NA
ENSG00000215018,ENSG00000138411,NA
ENSG00000157184,NA,NA
ENSG00000109625,NA,NA
ENSG00000005339,ENSG00000127124,NA
ENSG00000009307,ENSG00000205581,NA
ENSG00000183117,ENSG00000126945,NA
ENSG00000213923,ENSG00000153187,NA
ENSG00000102974,NA,NA
ENSG00000066032,ENSG00000174775,NA
ENSG00000183230,NA,NA
ENSG00000168036,ENSG00000003147,NA
ENSG00000169862,ENSG00000143621,NA
ENSG00000077063,NA,NA
ENSG00000036257,ENSG00000102786,NA
ENSG00000044090,ENSG00000124313,NA
ENSG00000257923,ENSG00000119669,NA
ENSG00000111249,ENSG00000259207,NA
ENSG00000168329,ENSG00000008083,NA
ENSG00000273749,ENSG00000120071,NA
ENSG00000155833,ENSG00000114166,NA
ENSG00000135929,ENSG00000083168,NA
ENSG00000134780,ENSG00000167216,NA
ENSG00000070190,ENSG00000158445,NA
ENSG00000215301,ENSG00000177807,NA
ENSG00000184735,ENSG00000075043,NA
ENSG00000177030,ENSG00000184156,NA
ENSG00000175161,ENSG00000170745,NA
ENSG00000152495,ENSG00000107077,NA
ENSG00000102181,ENSG00000117139,NA
ENSG00000149654,ENSG00000126012,NA
ENSG00000113742,ENSG00000147050,NA
ENSG00000160882,ENSG00000132510,NA
ENSG00000132437,ENSG00000168116,NA
ENSG00000139726,ENSG00000118193,NA
ENSG00000100150,ENSG00000149571,NA
ENSG00000172893,ENSG00000118058,NA
ENSG00000132153,ENSG00000055609,NA
ENSG00000160305,ENSG00000005483,NA
ENSG00000151240,NA,NA
ENSG00000162946,ENSG00000091136,NA
ENSG00000181744,ENSG00000166477,NA
ENSG00000150764,ENSG00000110066,NA
ENSG00000075711,ENSG00000136944,NA
ENSG00000150672,ENSG00000123384,NA
ENSG00000132535,ENSG00000099949,NA
ENSG00000170579,ENSG00000172264,NA
ENSG00000198010,NA,NA
ENSG00000116544,ENSG00000254585,NA
ENSG00000198719,ENSG00000204406,NA
ENSG00000064195,ENSG00000125505,NA
ENSG00000006377,ENSG00000169057,NA
ENSG00000198947,ENSG00000108510,NA
ENSG00000104936,ENSG00000123066,NA
ENSG00000185800,ENSG00000134138,NA
ENSG00000104093,ENSG00000105976,NA
ENSG00000197653,ENSG00000235718,NA
ENSG00000187775,ENSG00000251593,NA
ENSG00000158486,ENSG00000198793,NA
ENSG00000187957,ENSG00000284202,NA
ENSG00000119772,ENSG00000133026,NA
ENSG00000150760,ENSG00000197535,NA
ENSG00000128512,ENSG00000099331,NA
ENSG00000107099,ENSG00000186487,NA
ENSG00000175283,ENSG00000164134,NA
ENSG00000175497,ENSG00000166833,NA
ENSG00000254986,ENSG00000172915,NA
ENSG00000197635,ENSG00000061676,NA
ENSG00000130226,ENSG00000141027,NA
ENSG00000188641,ENSG00000196712,NA
ENSG00000092964,ENSG00000050344,NA
ENSG00000113657,NA,NA
ENSG00000149295,ENSG00000101004,NA
ENSG00000151577,ENSG00000164190,NA
ENSG00000171587,ENSG00000169760,NA
ENSG00000151914,ENSG00000050030,NA
ENSG00000149599,ENSG00000169992,NA
ENSG00000161202,ENSG00000196338,NA
ENSG00000170788,ENSG00000146938,NA
ENSG00000133665,ENSG00000151623,NA
ENSG00000197102,ENSG00000153234,NA
ENSG00000157540,ENSG00000179915,NA
ENSG00000108001,ENSG00000010818,NA
ENSG00000101210,ENSG00000120733,NA
ENSG00000132294,ENSG00000110076,NA
ENSG00000179388,ENSG00000021645,NA
ENSG00000181090,ENSG00000165671,NA
ENSG00000165288,NA,NA
ENSG00000073464,NA,NA
ENSG00000115844,ENSG00000074590,NA
ENSG00000184845,ENSG00000170584,NA
ENSG00000130811,NA,NA
ENSG00000151247,ENSG00000079482,NA
ENSG00000107105,ENSG00000197790,NA
ENSG00000196361,ENSG00000169918,NA
ENSG00000197977,ENSG00000180914,NA
ENSG00000109911,ENSG00000083454,NA
ENSG00000164778,ENSG00000072682,NA
