Gene_SFARI_all,Gene_SFARI_high,Gene_SFARI_syndromic
ENSG00000100393,ENSG00000175115,NA
ENSG00000183495,NA,NA
ENSG00000135999,ENSG00000171759,NA
ENSG00000158636,ENSG00000180370,NA
ENSG00000133216,ENSG00000116117,NA
ENSG00000261150,ENSG00000196092,NA
ENSG00000157554,NA,NA
ENSG00000136541,NA,NA
ENSG00000140009,NA,NA
ENSG00000119715,ENSG00000165194,NA
ENSG00000105379,ENSG00000132326,NA
ENSG00000180104,ENSG00000197724,NA
ENSG00000070367,ENSG00000135365,NA
ENSG00000138190,ENSG00000118482,NA
ENSG00000144036,NA,NA
ENSG00000182197,ENSG00000146247,NA
ENSG00000164687,ENSG00000070047,NA
ENSG00000185448,NA,NA
ENSG00000153789,ENSG00000182621,NA
ENSG00000130244,ENSG00000221866,NA
ENSG00000198690,ENSG00000164050,NA
ENSG00000083857,ENSG00000143442,NA
ENSG00000166147,ENSG00000085998,NA
ENSG00000112851,NA,NA
ENSG00000138081,NA,NA
ENSG00000163833,ENSG00000112640,NA
ENSG00000181036,ENSG00000124126,NA
ENSG00000153266,ENSG00000139174,NA
ENSG00000171560,ENSG00000163637,NA
ENSG00000189283,ENSG00000166501,NA
ENSG00000102081,NA,NA
ENSG00000176165,ENSG00000105287,NA
ENSG00000114861,ENSG00000185345,NA
ENSG00000128573,ENSG00000167085,NA
ENSG00000111816,ENSG00000005421,NA
ENSG00000169933,ENSG00000100033,NA
ENSG00000136928,NA,NA
ENSG00000011677,ENSG00000197170,NA
ENSG00000109158,ENSG00000165186,NA
ENSG00000166206,ENSG00000171862,NA
ENSG00000182256,ENSG00000233067,NA
ENSG00000144278,ENSG00000112655,NA
ENSG00000158089,ENSG00000179295,NA
ENSG00000130035,ENSG00000163564,NA
ENSG00000171766,ENSG00000198218,NA
ENSG00000119125,ENSG00000104388,NA
ENSG00000278311,ENSG00000172780,NA
ENSG00000146830,NA,NA
ENSG00000204120,NA,NA
ENSG00000174332,ENSG00000108557,NA
ENSG00000124767,NA,NA
ENSG00000101958,ENSG00000170471,NA
ENSG00000087460,ENSG00000204764,NA
ENSG00000185838,ENSG00000078328,NA
ENSG00000076716,ENSG00000091009,NA
ENSG00000183098,ENSG00000189056,NA
ENSG00000115159,ENSG00000142599,NA
ENSG00000171723,ENSG00000080298,NA
ENSG00000170775,NA,NA
ENSG00000164604,ENSG00000079841,NA
ENSG00000155511,NA,NA
ENSG00000120251,ENSG00000185008,NA
ENSG00000182771,NA,NA
ENSG00000152208,ENSG00000198963,NA
ENSG00000215045,ENSG00000142230,NA
ENSG00000164418,ENSG00000100241,NA
ENSG00000165355,ENSG00000144285,NA
ENSG00000139354,ENSG00000136531,NA
ENSG00000233276,ENSG00000196876,NA
ENSG00000163873,ENSG00000169432,NA
ENSG00000149403,ENSG00000112902,NA
ENSG00000105737,ENSG00000152217,NA
ENSG00000176884,ENSG00000152217,NA
ENSG00000183454,ENSG00000181555,NA
ENSG00000273079,ENSG00000168137,NA
ENSG00000155974,NA,NA
ENSG00000168959,ENSG00000161681,NA
ENSG00000196277,ENSG00000162105,NA
ENSG00000134184,ENSG00000251322,NA
ENSG00000263001,ENSG00000185960,NA
ENSG00000152402,NA,NA
ENSG00000172534,ENSG00000169375,NA
ENSG00000164588,ENSG00000124140,NA
ENSG00000068024,NA,NA
ENSG00000147099,ENSG00000157637,NA
ENSG00000115677,NA,NA
ENSG00000173064,ENSG00000157103,NA
ENSG00000138411,ENSG00000142319,NA
ENSG00000165478,ENSG00000165349,NA
ENSG00000124635,ENSG00000103257,NA
ENSG00000128731,ENSG00000198689,NA
ENSG00000127124,ENSG00000165300,NA
ENSG00000206503,ENSG00000141646,NA
ENSG00000234745,NA,NA
ENSG00000223865,ENSG00000127616,NA
ENSG00000196126,ENSG00000121073,NA
ENSG00000204632,ENSG00000139613,NA
ENSG00000205581,NA,NA
ENSG00000126945,NA,NA
ENSG00000153187,ENSG00000089006,NA
ENSG00000152413,ENSG00000115904,NA
ENSG00000105991,ENSG00000134532,NA
ENSG00000174775,ENSG00000152583,NA
ENSG00000249853,ENSG00000021574,NA
ENSG00000117594,ENSG00000124614,NA
ENSG00000135312,NA,NA
ENSG00000166736,ENSG00000065526,NA
ENSG00000178084,ENSG00000080603,NA
ENSG00000086758,ENSG00000116754,NA
ENSG00000157423,ENSG00000140557,NA
ENSG00000003147,NA,NA
ENSG00000115590,ENSG00000136854,NA
ENSG00000169306,ENSG00000164506,NA
ENSG00000189108,ENSG00000197283,NA
ENSG00000143621,NA,NA
ENSG00000184903,NA,NA
ENSG00000151689,ENSG00000106290,NA
ENSG00000164880,ENSG00000170921,NA
ENSG00000102786,ENSG00000160551,NA
ENSG00000183856,ENSG00000149930,NA
ENSG00000124313,NA,NA
ENSG00000119669,ENSG00000156787,NA
ENSG00000259207,ENSG00000145348,NA
ENSG00000150995,ENSG00000177565,NA
ENSG00000205726,ENSG00000136535,NA
ENSG00000008083,NA,NA
ENSG00000171988,ENSG00000100207,NA
ENSG00000107104,ENSG00000196628,NA
ENSG00000120071,ENSG00000148737,NA
ENSG00000114166,ENSG00000132604,NA
ENSG00000083168,ENSG00000168769,NA
ENSG00000102781,ENSG00000146872,NA
ENSG00000167216,NA,NA
ENSG00000158445,ENSG00000185973,NA
ENSG00000129159,ENSG00000100354,NA
ENSG00000184408,NA,NA
ENSG00000171385,ENSG00000167632,NA
ENSG00000177807,ENSG00000038382,NA
ENSG00000157551,ENSG00000153827,NA
ENSG00000173338,ENSG00000137672,NA
ENSG00000156113,ENSG00000134160,NA
ENSG00000075043,ENSG00000165699,NA
ENSG00000184156,ENSG00000103197,NA
ENSG00000170745,ENSG00000121297,NA
ENSG00000174943,NA,NA
ENSG00000165097,ENSG00000114062,NA
ENSG00000127663,ENSG00000009335,NA
ENSG00000107077,ENSG00000157741,NA
ENSG00000117139,ENSG00000104517,NA
ENSG00000126012,ENSG00000133958,NA
ENSG00000147050,ENSG00000125351,NA
ENSG00000132510,ENSG00000135655,NA
ENSG00000112232,ENSG00000123552,NA
ENSG00000168116,ENSG00000187555,NA
ENSG00000197892,NA,NA
ENSG00000118193,NA,NA
ENSG00000168280,ENSG00000127831,NA
ENSG00000149571,ENSG00000132549,NA
ENSG00000129911,ENSG00000095787,NA
ENSG00000118058,NA,NA
ENSG00000055609,ENSG00000163625,NA
ENSG00000005483,ENSG00000128815,NA
ENSG00000118162,NA,NA
ENSG00000111615,ENSG00000186153,NA
ENSG00000186393,NA,NA
ENSG00000101680,NA,NA
ENSG00000091136,ENSG00000181722,NA
ENSG00000166477,ENSG00000130749,NA
ENSG00000110066,ENSG00000015171,NA
ENSG00000174697,ENSG00000188994,NA
ENSG00000131042,ENSG00000148143,NA
ENSG00000104863,ENSG00000170396,NA
ENSG00000136944,NA,NA
ENSG00000198589,NA,NA
ENSG00000156564,NA,NA
ENSG00000165379,NA,NA
ENSG00000123384,NA,NA
ENSG00000081479,NA,NA
ENSG00000137269,NA,NA
ENSG00000128594,NA,NA
ENSG00000099949,NA,NA
ENSG00000107816,NA,NA
ENSG00000172264,NA,NA
ENSG00000144320,NA,NA
ENSG00000254585,NA,NA
ENSG00000189221,NA,NA
ENSG00000069535,NA,NA
ENSG00000102882,NA,NA
ENSG00000116141,NA,NA
ENSG00000141644,NA,NA
ENSG00000071655,NA,NA
ENSG00000129071,NA,NA
ENSG00000204406,NA,NA
ENSG00000166987,NA,NA
ENSG00000125505,NA,NA
ENSG00000104738,NA,NA
ENSG00000076003,NA,NA
ENSG00000147316,NA,NA
ENSG00000139915,NA,NA
ENSG00000169057,NA,NA
ENSG00000144893,NA,NA
ENSG00000108510,NA,NA
ENSG00000123066,NA,NA
ENSG00000081189,NA,NA
ENSG00000145794,NA,NA
ENSG00000157890,NA,NA
ENSG00000134138,NA,NA
ENSG00000162959,NA,NA
ENSG00000105976,NA,NA
ENSG00000235718,NA,NA
ENSG00000130731,NA,NA
ENSG00000101752,NA,NA
ENSG00000120215,NA,NA
ENSG00000070444,NA,NA
ENSG00000105926,NA,NA
ENSG00000120458,NA,NA
ENSG00000251593,NA,NA
ENSG00000038945,NA,NA
ENSG00000188786,NA,NA
ENSG00000177000,NA,NA
ENSG00000198793,NA,NA
ENSG00000205277,NA,NA
ENSG00000145113,NA,NA
ENSG00000284202,NA,NA
ENSG00000186260,NA,NA
ENSG00000133026,NA,NA
ENSG00000264424,NA,NA
ENSG00000041515,NA,NA
ENSG00000157483,NA,NA
ENSG00000197535,NA,NA
ENSG00000128833,NA,NA
ENSG00000099331,NA,NA
ENSG00000186487,NA,NA
ENSG00000164134,NA,NA
ENSG00000160877,NA,NA
ENSG00000166833,NA,NA
ENSG00000172915,NA,NA
ENSG00000061676,NA,NA
ENSG00000176771,NA,NA
ENSG00000141027,NA,NA
ENSG00000172260,NA,NA
ENSG00000067141,NA,NA
ENSG00000196712,NA,NA
ENSG00000050344,NA,NA
ENSG00000162599,NA,NA
ENSG00000147862,NA,NA
ENSG00000008441,NA,NA
ENSG00000101004,NA,NA
ENSG00000170113,NA,NA
ENSG00000140157,NA,NA
ENSG00000164190,NA,NA
ENSG00000169760,NA,NA
ENSG00000050030,NA,NA
ENSG00000169992,NA,NA
ENSG00000196338,NA,NA
ENSG00000146938,NA,NA
ENSG00000165246,NA,NA
ENSG00000126368,NA,NA
ENSG00000175745,NA,NA
ENSG00000151623,NA,NA
ENSG00000153234,NA,NA
ENSG00000091129,NA,NA
ENSG00000118257,NA,NA
ENSG00000179915,NA,NA
ENSG00000010818,NA,NA
ENSG00000120733,NA,NA
ENSG00000177694,NA,NA
ENSG00000128609,NA,NA
ENSG00000264343,NA,NA
ENSG00000170485,NA,NA
ENSG00000110076,NA,NA
ENSG00000021645,NA,NA
ENSG00000165671,NA,NA
ENSG00000162631,NA,NA
ENSG00000196358,NA,NA
ENSG00000198400,NA,NA
ENSG00000148053,NA,NA
ENSG00000140538,NA,NA
ENSG00000074590,NA,NA
ENSG00000185115,NA,NA
ENSG00000170584,NA,NA
ENSG00000069248,NA,NA
ENSG00000122584,NA,NA
ENSG00000122126,NA,NA
ENSG00000181781,NA,NA
ENSG00000046651,NA,NA
ENSG00000079482,NA,NA
ENSG00000221888,NA,NA
ENSG00000184022,NA,NA
ENSG00000197790,NA,NA
ENSG00000169918,NA,NA
ENSG00000101405,NA,NA
ENSG00000180914,NA,NA
ENSG00000083454,NA,NA
ENSG00000072682,NA,NA
ENSG00000175115,NA,NA
ENSG00000179364,NA,NA
ENSG00000168092,NA,NA
ENSG00000171759,NA,NA
ENSG00000180370,NA,NA
ENSG00000115421,NA,NA
ENSG00000116117,NA,NA
ENSG00000196092,NA,NA
ENSG00000007372,NA,NA
ENSG00000185630,NA,NA
ENSG00000175198,NA,NA
ENSG00000114054,NA,NA
ENSG00000138650,NA,NA
ENSG00000102290,NA,NA
ENSG00000150275,NA,NA
ENSG00000165194,NA,NA
ENSG00000132849,NA,NA
ENSG00000184226,NA,NA
ENSG00000204970,NA,NA
ENSG00000250120,NA,NA
ENSG00000249158,NA,NA
ENSG00000251664,NA,NA
ENSG00000239389,NA,NA
ENSG00000204969,NA,NA
ENSG00000255408,NA,NA
ENSG00000204967,NA,NA
ENSG00000204965,NA,NA
ENSG00000081842,NA,NA
ENSG00000204963,NA,NA
ENSG00000204962,NA,NA
ENSG00000204961,NA,NA
ENSG00000248383,NA,NA
ENSG00000078674,NA,NA
ENSG00000188389,NA,NA
ENSG00000154678,NA,NA
ENSG00000005882,NA,NA
ENSG00000179094,NA,NA
ENSG00000132326,NA,NA
ENSG00000112357,NA,NA
ENSG00000197724,NA,NA
ENSG00000135365,NA,NA
ENSG00000118482,NA,NA
ENSG00000172943,NA,NA
ENSG00000146247,NA,NA
ENSG00000070047,NA,NA
ENSG00000105647,NA,NA
ENSG00000069011,NA,NA
ENSG00000011422,NA,NA
ENSG00000182621,NA,NA
ENSG00000115556,NA,NA
ENSG00000198523,NA,NA
ENSG00000130827,NA,NA
ENSG00000221866,NA,NA
ENSG00000164050,NA,NA
ENSG00000130653,NA,NA
ENSG00000143442,NA,NA
ENSG00000014138,NA,NA
ENSG00000085998,NA,NA
ENSG00000130714,NA,NA
ENSG00000102977,NA,NA
ENSG00000198914,NA,NA
ENSG00000131626,NA,NA
ENSG00000170836,NA,NA
ENSG00000113575,NA,NA
ENSG00000137713,NA,NA
ENSG00000112640,NA,NA
ENSG00000124126,NA,NA
ENSG00000139174,NA,NA
ENSG00000163637,NA,NA
ENSG00000188191,NA,NA
ENSG00000154229,NA,NA
ENSG00000166501,NA,NA
ENSG00000184304,NA,NA
ENSG00000105287,NA,NA
ENSG00000253729,NA,NA
ENSG00000185345,NA,NA
ENSG00000171180,NA,NA
ENSG00000115507,NA,NA
ENSG00000243232,NA,NA
ENSG00000167085,NA,NA
ENSG00000105851,NA,NA
ENSG00000005421,NA,NA
ENSG00000131771,NA,NA
ENSG00000100033,NA,NA
ENSG00000185246,NA,NA
ENSG00000126464,NA,NA
ENSG00000106772,NA,NA
ENSG00000156011,NA,NA
ENSG00000197170,NA,NA
ENSG00000117569,NA,NA
ENSG00000165186,NA,NA
ENSG00000171862,NA,NA
ENSG00000233067,NA,NA
ENSG00000073756,NA,NA
ENSG00000112655,NA,NA
ENSG00000179295,NA,NA
ENSG00000127329,NA,NA
ENSG00000081237,NA,NA
ENSG00000196090,NA,NA
ENSG00000130508,NA,NA
ENSG00000163564,NA,NA
ENSG00000198218,NA,NA
ENSG00000135631,NA,NA
ENSG00000104388,NA,NA
ENSG00000155961,NA,NA
ENSG00000172780,NA,NA
ENSG00000136238,NA,NA
ENSG00000164754,NA,NA
ENSG00000244588,NA,NA
ENSG00000108557,NA,NA
ENSG00000006451,NA,NA
ENSG00000170471,NA,NA
ENSG00000204764,NA,NA
ENSG00000091428,NA,NA
ENSG00000266094,NA,NA
ENSG00000078328,NA,NA
ENSG00000091009,NA,NA
ENSG00000165476,NA,NA
ENSG00000189056,NA,NA
ENSG00000142599,NA,NA
ENSG00000080298,NA,NA
ENSG00000182901,NA,NA
ENSG00000106615,NA,NA
ENSG00000101883,NA,NA
ENSG00000079841,NA,NA
ENSG00000117016,NA,NA
ENSG00000152214,NA,NA
ENSG00000131263,NA,NA
ENSG00000181481,NA,NA
ENSG00000163481,NA,NA
ENSG00000137075,NA,NA
ENSG00000185008,NA,NA
ENSG00000069667,NA,NA
ENSG00000198963,NA,NA
ENSG00000147403,NA,NA
ENSG00000182591,NA,NA
ENSG00000071242,NA,NA
ENSG00000177189,NA,NA
ENSG00000142230,NA,NA
ENSG00000187634,NA,NA
ENSG00000111961,NA,NA
ENSG00000119042,NA,NA
ENSG00000100241,NA,NA
ENSG00000184178,NA,NA
ENSG00000144285,NA,NA
ENSG00000136531,NA,NA
ENSG00000007314,NA,NA
ENSG00000196876,NA,NA
ENSG00000169432,NA,NA
ENSG00000116171,NA,NA
ENSG00000169439,NA,NA
ENSG00000112902,NA,NA
ENSG00000152217,NA,NA
ENSG00000152217,NA,NA
ENSG00000139718,NA,NA
ENSG00000181555,NA,NA
ENSG00000168137,NA,NA
ENSG00000143379,NA,NA
ENSG00000136169,NA,NA
ENSG00000174938,NA,NA
ENSG00000115524,NA,NA
ENSG00000181523,NA,NA
ENSG00000100359,NA,NA
ENSG00000172985,NA,NA
ENSG00000161681,NA,NA
ENSG00000162105,NA,NA
ENSG00000251322,NA,NA
ENSG00000185960,NA,NA
ENSG00000142178,NA,NA
ENSG00000169375,NA,NA
ENSG00000124140,NA,NA
ENSG00000106688,NA,NA
